#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:31.01.2019 10:49,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:942.11,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1400°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1300°C,,,,
#SEG. 2:1300°C/10.0(K/min)/1400°C,,,,
#SEG. 3:1400°C/00:15/1400°C,,,,
#SEG. 4:1400°C/04:00/1400°C,,,,
,,,surface area,2.68956
##Temp./°C,Time/min,Mass loss(subtr.)/mg,,
1400.02909,166.25,2.1048856,,
1400.02932,166.5,2.1036485,,
1400.02831,166.75,2.1073242,,
1400.02789,167,2.1226856,,
1400.02986,167.25,2.1006314,,
1400.02852,167.5,2.0978635,,
1400.02655,167.75,2.1260053,,
1400.02675,168,2.1162776,,
1400.02787,168.25,2.1232196,,
1400.02654,168.5,2.0998037,,
1400.02841,168.75,2.1108219,,
1400.02688,169,2.1045029,,
1400.02716,169.25,2.110991,,
1400.0268,169.5,2.1226233,,
1400.02526,169.75,2.1289156,,
1400.02602,170,2.1217333,,
1400.02772,170.25,2.1349854,,
1400.03086,170.5,2.1142751,,
1400.03146,170.75,2.1206831,,
1400.0291,171,2.1106083,,
1400.02979,171.25,2.1298234,,
1400.03195,171.5,2.1362225,,
1400.03235,171.75,2.1264503,,
1400.03177,172,2.116509,,
1400.03347,172.25,2.1389726,,
1400.03489,172.5,2.131283,,
1400.03672,172.75,2.1302862,,
1400.03027,173,2.1347095,,
1400.02741,173.25,2.1399516,,
1400.02722,173.5,2.1456654,,
1400.0254,173.75,2.1504269,,
1400.02737,174,2.1471962,,
1400.02307,174.25,2.165993,,
1400.02087,174.5,2.1467334,,
1400.02078,174.75,2.1588641,,
1400.02481,175,2.1488071,,
1400.02843,175.25,2.1382784,,
1400.03467,175.5,2.1685028,,
1400.03291,175.75,2.1420965,,
1400.02881,176,2.1590332,,
1400.02728,176.25,2.1508541,,
1400.02616,176.5,2.1601368,,
1400.02863,176.75,2.1608399,,
1400.0306,177,2.1574668,,
1400.0291,177.25,2.1611959,,
1400.0249,177.5,2.1705676,,
1400.02175,177.75,2.169998,,
1400.02053,178,2.1718759,,
1400.02324,178.25,2.168663,,
1400.02628,178.5,2.1619969,,
1400.0288,178.75,2.1709859,,
1400.02531,179,2.1721963,,
1400.0219,179.25,2.1708702,,
1400.02281,179.5,2.1708168,,
1400.02616,179.75,2.1719382,,
1400.03094,180,2.1703006,,
1400.03648,180.25,2.1833658,,
1400.03343,180.5,2.1848165,,
1400.03436,180.75,2.1874598,,
1400.02972,181,2.1782038,,
1400.03137,181.25,2.1733533,,
1400.03034,181.5,2.1810785,,
1400.03019,181.75,2.1818439,,
1400.03306,182,2.1826182,,
1400.0308,182.25,2.1900141,,
1400.03123,182.5,2.2105286,,
1400.03109,182.75,2.1933249,,
1400.02765,183,2.203996,,
1400.02726,183.25,2.2009077,,
1400.03032,183.5,2.1995994,,
1400.02891,183.75,2.2045478,,
1400.02788,184,2.1844783,,
1400.02172,184.25,2.1954876,,
1400.02055,184.5,2.1944285,,
1400.0243,184.75,2.1938055,,
1400.0235,185,2.1996795,,
1400.02602,185.25,2.1951405,,
1400.02671,185.5,2.2180758,,
1400.03002,185.75,2.186819,,
1400.03512,186,2.2328231,,
1400.03482,186.25,2.2034442,,
1400.03225,186.5,2.2215112,,
1400.02935,186.75,2.2118903,,
1400.02841,187,2.2071466,,
1400.03,187.25,2.2255607,,
1400.02952,187.5,2.1917585,,
1400.03396,187.75,2.2222499,,
1400.03175,188,2.2240032,,
1400.02675,188.25,2.2230242,,
1400.02104,188.5,2.213786,,
1400.0233,188.75,2.2255073,,
1400.02126,189,2.2386615,,
1400.02717,189.25,2.2205322,,
1400.03135,189.5,2.2372731,,
1400.03445,189.75,2.2365344,,
1400.03805,190,2.2353329,,
1400.03937,190.25,2.2161445,,
1400.03725,190.5,2.2339712,,
1400.03399,190.75,2.2441439,,
1400.03204,191,2.247428,,
1400.02789,191.25,2.2344874,,
1400.0268,191.5,2.2392311,,
1400.02585,191.75,2.2495551,,
1400.02828,192,2.2480599,,
1400.02795,192.25,2.2347277,,
1400.02737,192.5,2.2483803,,
1400.02848,192.75,2.2538004,,
1400.02867,193,2.2509079,,
1400.0321,193.25,2.248941,,
1400.02972,193.5,2.2470631,,
1400.02948,193.75,2.2353329,,
1400.02601,194,2.2400677,,
1400.02569,194.25,2.2646851,,
1400.02632,194.5,2.2510058,,
1400.02782,194.75,2.2643202,,
1400.02901,195,2.2572269,,
1400.0292,195.25,2.2435832,,
1400.03121,195.5,2.264605,,
1400.0298,195.75,2.2475081,,
1400.02683,196,2.2523052,,
1400.02638,196.25,2.2505163,,
1400.0256,196.5,2.2694644,,
1400.02445,196.75,2.2761038,,
1400.027,197,2.2544501,,
1400.02662,197.25,2.2675153,,
1400.02985,197.5,2.2652725,,
1400.02933,197.75,2.2753295,,
1400.03086,198,2.292195,,
1400.02989,198.25,2.2924709,,
1400.02901,198.5,2.2721789,,
1400.02958,198.75,2.2428534,,
1400.02822,199,2.2737898,,
1400.028,199.25,2.260066,,
1400.02914,199.5,2.270746,,
1400.02862,199.75,2.2836243,,
1400.02988,200,2.2661803,,
1400.02878,200.25,2.276976,,
1400.028,200.5,2.2831259,,
1400.02992,200.75,2.2867482,,
1400.03128,201,2.2863032,,
1400.03071,201.25,2.2974816,,
1400.03122,201.5,2.2902459,,
1400.0331,201.75,2.2749468,,
1400.03025,202,2.3004186,,
1400.02622,202.25,2.2879853,,
1400.02518,202.5,2.2860451,,
1400.02656,202.75,2.2817464,,
1400.0277,203,2.2901124,,
1400.02898,203.25,2.2879497,,
1400.02977,203.5,2.2954079,,
1400.02961,203.75,2.2950074,,
1400.02445,204,2.2966361,,
1400.02371,204.25,2.3074407,,
1400.02432,204.5,2.3001249,,
1400.02892,204.75,2.2991904,,
1400.03249,205,2.2978732,,
1400.02948,205.25,2.2999647,,
1400.02713,205.5,2.3149879,,
1400.02508,205.75,2.3181474,,
1400.02234,206,2.3074051,,
1400.02335,206.25,2.3125048,,
1400.02545,206.5,2.3225529,,
1400.02817,206.75,2.3059188,,
1400.03009,207,2.3001694,,
1400.03021,207.25,2.3120064,,
1400.02769,207.5,2.3190196,,
1400.02421,207.75,2.311953,,
1400.02133,208,2.3162072,,
1400.02345,208.25,2.3087312,,
1400.02475,208.5,2.3133147,,
1400.02629,208.75,2.3284892,,
1400.02872,209,2.2932719,,
1400.02959,209.25,2.3238701,,
1400.03366,209.5,2.3288808,,
1400.02959,209.75,2.3306341,,
