#EXPORTTYPE:DATA SINGLE,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:25.01.2019 23:17,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:950.91,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:1200ÁC/04:00/1200ÁC,,,,
#SEGMENT:S4/4,,,,
#SEG. 4:1200ÁC/04:00/1200ÁC,,,,
,,,surface area,2.594946
##Temp./ÁC,Time/min,Mass loss/mg,,
1200.02046,181.5,1.462516,,
1200.01958,181.75,1.482019,,
1200.02062,182,1.482437,,
1200.02416,182.25,1.478004,,
1200.02364,182.5,1.470458,,
1200.02206,182.75,1.473164,,
1200.01779,183,1.471415,,
1200.01567,183.25,1.467851,,
1200.01463,183.5,1.479544,,
1200.01293,183.75,1.477872,,
1200.01344,184,1.480061,,
1200.01601,184.25,1.481128,,
1200.02279,184.5,1.477916,,
1200.02678,184.75,1.484417,,
1200.02661,185,1.478752,,
1200.02541,185.25,1.47466,,
1200.02317,185.5,1.477575,,
1200.024,185.75,1.487255,,
1200.02015,186,1.478455,,
1200.02065,186.25,1.469127,,
1200.01598,186.5,1.478664,,
1200.01395,186.75,1.471338,,
1200.01303,187,1.482976,,
1200.0178,187.25,1.489279,,
1200.02377,187.5,1.479786,,
1200.02915,187.75,1.480248,,
1200.02857,188,1.48071,,
1200.02664,188.25,1.489433,,
1200.02235,188.5,1.482536,,
1200.01917,188.75,1.485836,,
1200.01772,189,1.480523,,
1200.02084,189.25,1.491776,,
1200.01973,189.5,1.483394,,
1200.02055,189.75,1.491083,,
1200.01905,190,1.489873,,
1200.01538,190.25,1.485297,,
1200.01521,190.5,1.495835,,
1200.0104,190.75,1.487486,,
1200.01229,191,1.494559,,
1200.01251,191.25,1.502699,,
1200.01249,191.5,1.492106,,
1200.01561,191.75,1.494361,,
1200.01593,192,1.494449,,
1200.02052,192.25,1.486551,,
1200.02041,192.5,1.501412,,
1200.01871,192.75,1.493888,,
1200.01606,193,1.50139,,
1200.01507,193.25,1.507264,,
1200.01275,193.5,1.494889,,
1200.01303,193.75,1.503975,,
1200.01306,194,1.497507,,
1200.0155,194.25,1.513358,,
1200.01729,194.5,1.511092,,
1200.01662,194.75,1.503161,,
1200.01234,195,1.50469,,
1200.01335,195.25,1.496297,,
1200.01406,195.5,1.513116,,
1200.01703,195.75,1.508672,,
1200.01731,196,1.506329,,
1200.01619,196.25,1.510091,,
1200.0157,196.5,1.503678,,
1200.01667,196.75,1.512654,,
1200.01892,197,1.50711,,
1200.01907,197.25,1.512951,,
1200.02084,197.5,1.514183,,
1200.01974,197.75,1.515701,,
1200.0181,198,1.511565,,
1200.01518,198.25,1.516581,,
1200.01406,198.5,1.522455,,
1200.01158,198.75,1.511521,,
1200.01468,199,1.528318,,
1200.0174,199.25,1.516691,,
1200.02145,199.5,1.515778,,
1200.02236,199.75,1.52273,,
1200.01939,200,1.515701,,
1200.01424,200.25,1.516889,,
1200.01275,200.5,1.516922,,
1200.01499,200.75,1.510047,,
1200.01918,201,1.519518,,
1200.02079,201.25,1.52284,,
1200.02183,201.5,1.522543,,
1200.02307,201.75,1.522389,,
1200.02353,202,1.514579,,
1200.02161,202.25,1.52229,,
1200.01655,202.5,1.521828,,
1200.01368,202.75,1.528142,,
1200.01591,203,1.518814,,
1200.0193,203.25,1.519639,,
1200.02035,203.5,1.520497,,
1200.02095,203.75,1.524985,,
1200.02012,204,1.52812,,
1200.0203,204.25,1.523181,,
1200.01787,204.5,1.533257,,
1200.01671,204.75,1.521091,,
1200.01772,205,1.523192,,
1200.02129,205.25,1.525557,,
1200.01874,205.5,1.53483,,
1200.02126,205.75,1.524853,,
1200.0208,206,1.539516,,
1200.02092,206.25,1.538812,,
1200.021,206.5,1.536568,,
1200.01956,206.75,1.539604,,
1200.01777,207,1.541089,,
1200.01791,207.25,1.539725,,
1200.01685,207.5,1.529528,,
1200.01609,207.75,1.534335,,
1200.01377,208,1.535578,,
1200.01372,208.25,1.544488,,
1200.01435,208.5,1.532894,,
1200.01905,208.75,1.551209,,
1200.02131,209,1.538262,,
1200.0204,209.25,1.533378,,
1200.02121,209.5,1.542904,,
1200.02112,209.75,1.541364,,
1200.01992,210,1.540396,,
1200.01894,210.25,1.539967,,
1200.01997,210.5,1.542728,,
1200.01882,210.75,1.552364,,
1200.01947,211,1.536524,,
1200.01773,211.25,1.539296,,
1200.01597,211.5,1.544686,,
1200.01861,211.75,1.540781,,
1200.02021,212,1.55265,,
1200.0208,212.25,1.547755,,
1200.01726,212.5,1.540374,,
1200.01641,212.75,1.546094,,
1200.01657,213,1.546589,,
1200.01796,213.25,1.562825,,
1200.01843,213.5,1.54517,,
1200.01503,213.75,1.550659,,
1200.01566,214,1.562418,,
1200.01688,214.25,1.554982,,
1200.01887,214.5,1.552419,,
1200.0222,214.75,1.557171,,
1200.02236,215,1.549273,,
1200.02222,215.25,1.559976,,
1200.02101,215.5,1.561208,,
1200.02108,215.75,1.550934,,
1200.02057,216,1.550054,,
1200.01946,216.25,1.5697,,
1200.01691,216.5,1.565113,,
1200.0131,216.75,1.550494,,
1200.01137,217,1.564255,,
1200.01379,217.25,1.560878,,
1200.01449,217.5,1.562385,,
1200.01744,217.75,1.558634,,
1200.01875,218,1.550857,,
1200.01789,218.25,1.563903,,
1200.01758,218.5,1.570327,,
1200.01654,218.75,1.566928,,
1200.01529,219,1.574254,,
1200.01653,219.25,1.562627,,
1200.01275,219.5,1.566862,,
1200.01348,219.75,1.561362,,
