#EXPORTTYPE:DATA ALL,,,,
#FILE:,,,,
#FORMAT:NETZSCH5,,,,
#FTYPE:ANSI,,,,
#IDENTITY:,,,,
#DECIMAL:POINT,,,,
#SEPARATOR:SEMICOLON,,,,
#MTYPE:TG,,,,
#INSTRUMENT:NETZSCH STA 449F1,,,,
#PROJECT:,,,,
#DATE/TIME:31.01.2019 00:25,,,,
#CORR. FILE:,,,,
#TEMPCAL:TGA temperature calibration.ngb-ts1,,,,
#SENSITIVITY:---,,,,
#LABORATORY:,,,,
#OPERATOR:,,,,
#REMARK:DS,,,,
#SAMPLE:,,,,
#SAMPLE MASS /mg:872.52,,,,
#MATERIAL:,,,,
#REFERENCE:,,,,
#REFERENCE MASS /mg:,,,,
#TYPE OF CRUCIBLE:DTA/TG crucible Al2O3,,,,
#SAMPLE CRUCIBLE MASS /mg:0,,,,
#REFERENCE CRUCIBLE MASS /mg:,,,,
#TG RANGE /mg:5000,,,,
#TAU-R:---,,,,
#CORR. CODE:000,,,,
#EXO:-1,,,,
#RANGE:30°C....1350°C/0.0....50.0K/min,,,,
#SEGMENT:S1-4/4,,,,
#SEG. 1:30°C/50.0(K/min)/1250°C,,,,
#SEG. 2:1250°C/10.0(K/min)/1350°C,,,,
#SEG. 3:1350°C/00:15/1350°C,,,,
#SEG. 4:1350°C/04:00/1350°C,,,,
,,,surface area,2.519378
##Temp./°C,Time/min,Mass loss/mg,,
1350.02577,143.25,3.3054048,,
1350.02369,143.5,3.3094008,,
1350.02856,143.75,3.3153516,,
1350.03122,144,3.3095196,,
1350.03069,144.25,3.3071436,,
1350.03089,144.5,3.3169392,,
1350.02625,144.75,3.3232248,,
1350.0307,145,3.3241968,,
1350.03127,145.25,3.3176088,,
1350.03279,145.5,3.3276096,,
1350.03265,145.75,3.3281604,,
1350.03307,146,3.3253848,,
1350.03064,146.25,3.3278904,,
1350.03118,146.5,3.3310872,,
1350.03338,146.75,3.3344136,,
1350.03415,147,3.3349428,,
1350.03599,147.25,3.3339816,,
1350.03317,147.5,3.3366708,,
1350.03266,147.75,3.3263028,,
1350.03145,148,3.3366276,,
1350.03063,148.25,3.3410988,,
1350.02736,148.5,3.3371892,,
1350.02801,148.75,3.3433452,,
1350.02817,149,3.3521688,,
1350.03281,149.25,3.3518556,,
1350.03321,149.5,3.3367464,,
1350.03203,149.75,3.3529572,,
1350.02835,150,3.3580332,,
1350.02442,150.25,3.3529032,,
1350.0214,150.5,3.3509808,,
1350.0247,150.75,3.3555168,,
1350.03068,151,3.3544368,,
1350.03664,151.25,3.3596856,,
1350.03429,151.5,3.3595452,,
1350.03397,151.75,3.3580548,,
1350.03263,152,3.359772,,
1350.03123,152.25,3.3707664,,
1350.02948,152.5,3.3634656,,
1350.02958,152.75,3.365334,,
1350.03014,153,3.36366,,
1350.02808,153.25,3.362094,,
1350.02821,153.5,3.372786,,
1350.02652,153.75,3.3827112,,
1350.02617,154,3.3843528,,
1350.02793,154.25,3.3766092,,
1350.02521,154.5,3.373272,,
1350.02524,154.75,3.376512,,
1350.02525,155,3.3786396,,
1350.02729,155.25,3.3855516,,
1350.03021,155.5,3.38661,,
1350.03029,155.75,3.3905844,,
1350.03047,156,3.3838452,,
1350.03107,156.25,3.3782832,,
1350.02979,156.5,3.3878844,,
1350.0317,156.75,3.3873336,,
1350.03243,157,3.3901524,,
1350.0293,157.25,3.385098,,
1350.0305,157.5,3.3786072,,
1350.03097,157.75,3.3890724,,
1350.03203,158,3.400542,,
1350.03443,158.25,3.3979824,,
1350.03379,158.5,3.3876792,,
1350.03278,158.75,3.391038,,
1350.03104,159,3.396222,,
1350.03022,159.25,3.4034688,,
1350.02921,159.5,3.398814,,
1350.03043,159.75,3.4039332,,
1350.03164,160,3.4114932,,
1350.02946,160.25,3.4027344,,
1350.03016,160.5,3.415284,,
1350.03087,160.75,3.4176924,,
1350.03214,161,3.4118712,,
1350.0311,161.25,3.401676,,
1350.02892,161.5,3.4090092,,
1350.02789,161.75,3.4144092,,
1350.02695,162,3.4163316,,
1350.02652,162.25,3.426246,,
1350.02675,162.5,3.431484,,
1350.02815,162.75,3.4243452,,
1350.02992,163,3.4246368,,
1350.02875,163.25,3.4249824,,
1350.02807,163.5,3.4256088,,
1350.02775,163.75,3.424572,,
1350.02463,164,3.43386,,
1350.02231,164.25,3.4326828,,
1350.02601,164.5,3.4317648,,
1350.03056,164.75,3.4304796,,
1350.03292,165,3.4371,,
1350.03052,165.25,3.4354692,,
1350.02828,165.5,3.4435368,,
1350.02914,165.75,3.44682,,
1350.02958,166,3.439854,,
1350.03032,166.25,3.4332552,,
1350.02908,166.5,3.4392168,,
1350.02891,166.75,3.4394112,,
1350.02924,167,3.452166,,
1350.02946,167.25,3.4574364,,
1350.03132,167.5,3.4460532,,
1350.02948,167.75,3.4347456,,
1350.03027,168,3.4415712,,
1350.02877,168.25,3.4526736,,
1350.02792,168.5,3.4581492,,
1350.02815,168.75,3.4477056,,
1350.02732,169,3.4470468,,
1350.02745,169.25,3.4534512,,
1350.02782,169.5,3.452706,,
1350.02721,169.75,3.4609788,,
1350.02713,170,3.4549416,,
1350.0295,170.25,3.4599528,,
1350.02982,170.5,3.4587432,,
1350.0326,170.75,3.4582896,,
1350.02802,171,3.45897,,
1350.02429,171.25,3.4663356,,
1350.02503,171.5,3.4683336,,
1350.02706,171.75,3.4734744,,
1350.033,172,3.4665732,,
1350.03422,172.25,3.4734744,,
1350.03447,172.5,3.4802028,,
1350.0344,172.75,3.477384,,
1350.03425,173,3.4645212,,
1350.03432,173.25,3.4723512,,
1350.03149,173.5,3.4826652,,
